980164, Additional Flow : 0 CFM,Insulation Type : ,System Classification : Supply Air,Lining Thickness : 0",Size Lock : No,Hydraulic Diameter : 8",Velocity : 0 FPM,Bottom Elevation : 11' - 4",Phase Demolished : None,End Offset : 11' - 8",Velocity Pressure : 0.00 in-wg,Slope : 0" / 12",Area : 2 SF,Loss Coefficient : 0,System Name : Mechanical Supply Air 3,Image : <None>,Type Id : 139188,Type Name : ,Start Offset : 11' - 8",Length : 1' - 0 3/4",Friction : 0.00 in-wg/100ft,Horizontal Justification : Center,Family and Type : Round Duct: Taps,Lining Type : ,Category : Ducts,Insulation Thickness : 0",Overall Size : 8"ø,Reynolds number : 0,System Abbreviation : ,Free Size : 8"ø,Comments : ,Mark : 295,Top Elevation : 12' - 0",Design Option : -1,Phase Created : New Construction,Offset : 11' - 8",Family : Round Duct,Category : Ducts,Size : 8"ø,Family Name : ,Equivalent Diameter : 8",Flow : 0 CFM,Pressure Drop : 0.00 in-wg,Section : 39,FOT/FOB/SU/SD/= : ,Type : Taps,Diameter : 8",System Type : Supply Air,Reference Level : T.O. SLAB - 1ST,Vertical Justification : Middle
968183, Flow : 490 CFM,Length : 8' - 8 1/32",FOT/FOB/SU/SD/= : ,Insulation Thickness : 0",Bottom Elevation : 12' - 8",Top Elevation : 14' - 0",System Abbreviation : ,End Offset : 13' - 4",Size : 24"x16",Horizontal Justification : Center,Additional Flow : 0 CFM,Type : Radius Elbows / Tees,Slope : 0" / 12",Image : <None>,System Type : Supply Air,Loss Coefficient : 0.132473,Area : 58 SF,Type Id : 139191,Vertical Justification : Middle,Width : 24",Velocity : 180 FPM,Offset : 13' - 4",Family : Rectangular Duct,Height : 16",Phase Demolished : None,Type Name : ,Friction : 0.00 in-wg/100ft,Category : Ducts,Size Lock : No,Start Offset : 13' - 4",Design Option : -1,Family and Type : Rectangular Duct: Radius Elbows / Tees,Reference Level : T.O. SLAB - 1ST,Equivalent Diameter : 21",Free Size : 24"x16",Section : 36,Velocity Pressure : 0.00 in-wg,System Name : Mechanical Supply Air 7,Phase Created : New Construction,Category : Ducts,Family Name : ,Pressure Drop : 0.00 in-wg,Lining Thickness : 0",Equivalent Diameter : 21",Lining Type : ,Insulation Type : ,Hydraulic Diameter : 19",System Classification : Supply Air,Mark : 176,Overall Size : 24"x16",Reynolds number : 30199.68,Comments : 
1050405, Velocity Pressure : 0.00 in-wg,Loss Coefficient : 0,Section : 35,Velocity : 0 FPM,Offset : 15' - 4 3/32",Height : 40",Length : 0' - 11 1/16",Lining Thickness : 0",Category : Ducts,Family Name : ,Reynolds number : 0,System Classification : Supply Air,Design Option : -1,Mark : 682,Top Elevation : 17' - 0 3/32",Image : <None>,Hydraulic Diameter : 23",Additional Flow : 0 CFM,Width : 16",Overall Size : 16"x40",Type Id : 139185,System Type : Supply Air,Vertical Justification : Top,Family and Type : Rectangular Duct: Mitered Elbows / Taps,System Name : Mechanical Supply Air 13,Phase Demolished : None,End Offset : 15' - 4 3/32",Lining Type : ,FOT/FOB/SU/SD/= : ,Type Name : ,System Abbreviation : ,Flow : 0 CFM,Horizontal Justification : Center,Equivalent Diameter : 27",Friction : 0.00 in-wg/100ft,Insulation Type : ,Type : Mitered Elbows / Taps,Equivalent Diameter : 27",Pressure Drop : 0.00 in-wg,Reference Level : T.O. SLAB - 1ST,Area : 9 SF,Phase Created : New Construction,Start Offset : 15' - 4 3/32",Size : 16"x40",Bottom Elevation : 13' - 8 3/32",Free Size : 16"x40",Family : Rectangular Duct,Slope : 0" / 12",Size Lock : No,Category : Ducts,Insulation Thickness : 0",Comments : 
956587, Diameter : 16",Insulation Thickness : 0",Family Name : ,Vertical Justification : Middle,Lining Type : ,Area : 3 SF,Reynolds number : 0,System Abbreviation : ,Equivalent Diameter : 16",Type Name : ,Lining Thickness : 0",Loss Coefficient : 0,System Name : Mechanical Supply Air 1,Free Size : 16"ø,End Offset : 14' - 7",Slope : 0" / 12",Start Offset : 13' - 11",Length : 0' - 8",Bottom Elevation : 13' - 11",Velocity : 0 FPM,Velocity Pressure : 0.00 in-wg,Phase Demolished : None,System Type : Supply Air,Size Lock : No,Size : 16"ø,Reference Level : T.O. SLAB - 1ST,Hydraulic Diameter : 16",Family : Round Duct,Horizontal Justification : Center,Image : <None>,Insulation Type : ,Additional Flow : 0 CFM,Pressure Drop : 0.00 in-wg,Type : Taps,Flow : 0 CFM,Design Option : -1,Comments : ,Mark : 28,Offset : 13' - 11",Top Elevation : 14' - 7",Section : 1,Friction : 0.00 in-wg/100ft,Type Id : 139188,FOT/FOB/SU/SD/= : ,Category : Ducts,Overall Size : 16"ø,System Classification : Supply Air,Phase Created : New Construction,Family and Type : Round Duct: Taps,Category : Ducts
978768, Hydraulic Diameter : 8",Section : 32,System Classification : Supply Air,Velocity : 0 FPM,Slope : 0" / 12",Overall Size : 8"ø,Additional Flow : 0 CFM,Horizontal Justification : Center,Pressure Drop : 0.00 in-wg,System Name : Mechanical Supply Air 1,Size : 8"ø,Insulation Thickness : 0",Family and Type : Round Duct: Taps,Design Option : -1,Type : Taps,Offset : 11' - 8",Vertical Justification : Middle,Length : 8' - 6 3/16",Family : Round Duct,Family Name : ,Phase Demolished : None,Friction : 0.00 in-wg/100ft,Lining Type : ,Reference Level : T.O. SLAB - 1ST,Type Name : ,Phase Created : New Construction,Start Offset : 11' - 8",Category : Ducts,Velocity Pressure : 0.00 in-wg,System Abbreviation : ,Free Size : 8"ø,Flow : 0 CFM,Top Elevation : 12' - 0",Area : 18 SF,FOT/FOB/SU/SD/= : ,Category : Ducts,Size Lock : No,Equivalent Diameter : 8",Comments : ,Insulation Type : ,System Type : Supply Air,Diameter : 8",Mark : 273,Bottom Elevation : 11' - 4",End Offset : 11' - 8",Type Id : 139188,Loss Coefficient : 0,Reynolds number : 0,Lining Thickness : 0",Image : <None>
978778, Size Lock : No,Type Name : ,Free Size : 8"ø,Area : 2 SF,Design Option : -1,Slope : 0" / 12",Reference Level : T.O. SLAB - 1ST,Flow : 0 CFM,Family Name : ,Diameter : 8",Velocity : 0 FPM,Velocity Pressure : 0.00 in-wg,Insulation Thickness : 0",FOT/FOB/SU/SD/= : ,End Offset : 11' - 8",Vertical Justification : Middle,Start Offset : 11' - 8",Reynolds number : 0,Friction : 0.00 in-wg/100ft,Hydraulic Diameter : 8",System Type : Supply Air,Category : Ducts,Pressure Drop : 0.00 in-wg,Horizontal Justification : Center,Offset : 11' - 8",Loss Coefficient : 0,Insulation Type : ,Family : Round Duct,Comments : ,System Name : Mechanical Supply Air 1,Additional Flow : 0 CFM,Section : 32,System Classification : Supply Air,Bottom Elevation : 11' - 4",Overall Size : 8"ø,Phase Demolished : None,Lining Type : ,Phase Created : New Construction,Top Elevation : 12' - 0",Family and Type : Round Duct: Taps,Image : <None>,Length : 1' - 1 11/32",Equivalent Diameter : 8",Category : Ducts,Type : Taps,Size : 8"ø,Lining Thickness : 0",Mark : 274,System Abbreviation : ,Type Id : 139188
982420, Insulation Type : ,System Type : Supply Air,Size : 8"ø,Start Offset : 11' - 8",Equivalent Diameter : 8",Flow : 0 CFM,Diameter : 8",Area : 5 SF,Length : 2' - 3 7/16",Bottom Elevation : 11' - 4",Horizontal Justification : Center,Velocity Pressure : 0.00 in-wg,Slope : 0" / 12",Top Elevation : 12' - 0",Size Lock : No,Velocity : 0 FPM,Mark : 332,Phase Demolished : None,System Classification : Supply Air,System Name : Mechanical Supply Air 2,Insulation Thickness : 0",Comments : ,Overall Size : 8"ø,Family and Type : Round Duct: Taps,Friction : 0.00 in-wg/100ft,Lining Thickness : 0",Family Name : ,Vertical Justification : Middle,Family : Round Duct,Category : Ducts,Image : <None>,Offset : 11' - 8",Category : Ducts,End Offset : 11' - 8",System Abbreviation : ,Loss Coefficient : 0,Reynolds number : 0,Section : 23,FOT/FOB/SU/SD/= : ,Phase Created : New Construction,Type Id : 139188,Pressure Drop : 0.00 in-wg,Additional Flow : 0 CFM,Lining Type : ,Free Size : 8"ø,Type Name : ,Type : Taps,Reference Level : T.O. SLAB - 1ST,Hydraulic Diameter : 8",Design Option : -1
988716, Length : 1' - 2 19/32",Offset : 13' - 4",Slope : 0" / 12",Lining Thickness : 0",Velocity : 0 FPM,Additional Flow : 0 CFM,Phase Demolished : None,Top Elevation : 14' - 0",Diameter : 16",Comments : ,Phase Created : New Construction,Size Lock : No,Loss Coefficient : 0,Start Offset : 13' - 4",Vertical Justification : Middle,System Name : Mechanical Supply Air 7,Insulation Type : ,Section : 60,System Type : Supply Air,Family and Type : Round Duct: Taps,Family : Round Duct,System Abbreviation : ,Category : Ducts,Type Name : ,Size : 16"ø,Image : <None>,Lining Type : ,Friction : 0.00 in-wg/100ft,Reference Level : T.O. SLAB - 1ST,Overall Size : 16"ø,Bottom Elevation : 12' - 8",Velocity Pressure : 0.00 in-wg,Horizontal Justification : Center,System Classification : Supply Air,Category : Ducts,Free Size : 16"ø,Flow : 0 CFM,Mark : 377,FOT/FOB/SU/SD/= : ,Equivalent Diameter : 16",Reynolds number : 0,Design Option : -1,Area : 5 SF,Insulation Thickness : 0",Hydraulic Diameter : 16",Type : Taps,Pressure Drop : 0.00 in-wg,Type Id : 139188,Family Name : ,End Offset : 13' - 4"
960951, Additional Flow : 0 CFM,Length : 0' - 8 1/4",Flow : 0 CFM,Loss Coefficient : 0,Family Name : ,Pressure Drop : 0.00 in-wg,FOT/FOB/SU/SD/= : ,Comments : ,Top Elevation : 14' - 7 1/4",Area : 3 SF,Friction : 0.00 in-wg/100ft,End Offset : 14' - 7 1/4",Velocity : 0 FPM,Start Offset : 13' - 11",Type Id : 139188,Category : Ducts,Image : <None>,Horizontal Justification : Center,System Name : Mechanical Supply Air 3,Type Name : ,Equivalent Diameter : 16",Offset : 13' - 11",Category : Ducts,Overall Size : 16"ø,System Type : Supply Air,Bottom Elevation : 13' - 11",Slope : 0" / 12",Insulation Type : ,Insulation Thickness : 0",Reynolds number : 0,Hydraulic Diameter : 16",Family : Round Duct,Free Size : 16"ø,Type : Taps,Design Option : -1,Phase Created : New Construction,Vertical Justification : Middle,Section : 15,Lining Thickness : 0",Size Lock : No,Velocity Pressure : 0.00 in-wg,Family and Type : Round Duct: Taps,System Abbreviation : ,System Classification : Supply Air,Reference Level : T.O. SLAB - 1ST,Lining Type : ,Mark : 98,Size : 16"ø,Phase Demolished : None,Diameter : 16"
958783, Reynolds number : 0,Category : Ducts,Phase Demolished : None,Comments : ,Area : 23 SF,Length : 5' - 6",FOT/FOB/SU/SD/= : ,System Abbreviation : ,System Type : Supply Air,Family Name : ,Slope : 0" / 12",Hydraulic Diameter : 16",System Classification : Supply Air,Bottom Elevation : 14' - 7 1/2",Design Option : -1,Velocity Pressure : 0.00 in-wg,Size : 16"ø,Type Name : ,Offset : 15' - 3 1/2",Section : 19,Start Offset : 15' - 3 1/2",Vertical Justification : Middle,Equivalent Diameter : 16",System Name : Mechanical Supply Air 2,Pressure Drop : 0.00 in-wg,Top Elevation : 15' - 11 1/2",Horizontal Justification : Center,Family : Round Duct,Velocity : 0 FPM,End Offset : 15' - 3 1/2",Type : Taps,Size Lock : No,Insulation Thickness : 0",Lining Thickness : 0",Flow : 0 CFM,Category : Ducts,Insulation Type : ,Lining Type : ,Type Id : 139188,Diameter : 16",Free Size : 16"ø,Loss Coefficient : 0,Family and Type : Round Duct: Taps,Image : <None>,Mark : 62,Phase Created : New Construction,Reference Level : T.O. SLAB - 1ST,Friction : 0.00 in-wg/100ft,Additional Flow : 0 CFM,Overall Size : 16"ø
